N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
159,동국제강,"18,150","1,300",-6.68%,"5,000","17,321","95,433",22.61,"1,382,416",8.22,3.35,
160,PI첨단소재,"58,300","2,600",-4.27%,500,"17,121","29,366",18.67,"338,862",31.36,15.62,
161,TIGER 차이나전기차SOLACTIVE,"17,520",715,+4.25%,0,"17,036","97,240",0.00,"10,896,351",N/A,N/A,
162,KODEX 삼성그룹,"10,240",390,-3.67%,0,"17,019","166,200",0.03,"595,548",N/A,N/A,
163,금호타이어,"5,830",330,-5.36%,"5,000","16,747","287,260",4.25,"946,761",-110.00,-6.74,
164,한전기술,"43,650","2,450",-5.31%,200,"16,683","38,220",2.40,"459,887",99.66,N/A,
165,롯데정밀화학,"64,600","2,300",-3.44%,"5,000","16,667","25,800",19.93,"132,193",8.49,12.65,
166,한국앤컴퍼니,"17,350",650,-3.61%,500,"16,471","94,935",9.65,"340,699",8.00,5.08,
167,한전KPS,"36,200","2,100",-5.48%,200,"16,290","45,000",9.02,"566,942",15.10,8.23,
168,한일시멘트,"231,000","12,500",+5.72%,"5,000","15,999","6,926",2.61,"32,392",13.29,N/A,
169,진원생명과학,"35,350","1,700",-4.59%,"1,000","15,982","45,212",14.36,"2,216,948",-80.89,-30.43,
170,KODEX 레버리지,"25,000","1,055",-4.05%,0,"15,850","63,400",1.77,"22,642,999",N/A,N/A,
171,명신산업,"29,900","4,650",-13.46%,500,"15,689","52,470",1.41,"5,910,059",-12.97,-67.39,
172,한미반도체,"31,700","2,000",-5.93%,200,"15,679","49,460",8.14,"633,436",21.13,21.03,
173,DGB금융지주,"9,020",250,-2.70%,"5,000","15,257","169,146",49.30,"522,775",4.15,6.93,
174,JB금융지주,"7,660",190,-2.42%,"5,000","15,089","196,983",40.63,"772,034",3.78,10.06,
175,아이에스동서,"48,000","2,400",-4.76%,500,"14,828","30,893",4.65,"138,239",11.60,10.92,
176,DL,"69,900","2,500",-3.45%,"5,000","14,648","20,956",14.91,"219,034",2.26,11.84,
177,KG동부제철,"14,500",700,-4.61%,"5,000","14,501","100,009",1.14,"406,254",11.86,7.18,
178,코스모신소재,"48,000",0,0.00%,"1,000","14,442","30,087",9.32,"1,116,433",86.64,7.16,
179,KODEX 단기채권PLUS,"103,180",10,+0.01%,0,"14,320","13,879",0.00,"2,141,843",N/A,N/A,
180,두산,"85,900","3,000",-3.37%,"5,000","14,194","16,524",11.92,"123,111",-140.59,-34.34,
181,대한유화,"218,000","6,000",-2.68%,"5,000","14,170","6,500",14.25,"60,565",6.10,6.93,
182,녹십자홀딩스,"30,000",900,-2.91%,500,"14,108","47,028",5.05,"137,975",7.96,19.74,
183,KODEX 종합채권(AA-이상)액티브,"109,945",50,+0.05%,0,"14,042","12,772",0.00,"1,243",N/A,N/A,
184,롯데리츠,"5,770",70,-1.20%,500,"14,019","242,969",10.39,"571,299",33.55,1.83,
185,LG생활건강우,"666,000","3,000",-0.45%,"5,000","13,984","2,100",84.50,"3,089",14.36,N/A,
186,종근당,"122,000","5,500",-4.31%,"2,500","13,940","11,426",7.81,"83,428",15.70,17.88,
187,코스맥스,"120,000","3,500",-2.83%,500,"13,619","11,350",24.56,"73,669",37.75,6.23,
188,아시아나항공,"18,150",150,-0.82%,"5,000","13,506","74,412",19.91,"605,091",-20.12,-43.83,
189,NHN,"69,000","1,200",-1.71%,500,"13,500","19,565",12.94,"73,060",50.36,1.35,
